,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,293.75,38,8,3.59,AU,1636774888
1,Contai,21.7786,87.7536,294.9,93,100,2.89,IN,1636774889
2,Kaitangata,-46.2817,169.8464,282.56,97,100,5.98,NZ,1636774889
3,Esperance,-33.8667,121.9,291.06,51,100,4.73,AU,1636774889
4,Fairbanks,64.8378,-147.7164,256.82,80,90,0.0,US,1636774802
5,Hermanus,-34.4187,19.2345,289.76,87,24,3.14,ZA,1636774890
6,Hofn,64.2539,-15.2082,276.67,97,100,5.98,IS,1636774890
7,Provideniya,64.3833,-173.3,264.87,94,90,1.54,RU,1636774891
8,Pevek,69.7008,170.3133,260.52,95,100,2.28,RU,1636774891
9,Port Hawkesbury,45.6169,-61.3485,279.92,80,75,3.13,CA,1636774892
10,Longyearbyen,78.2186,15.6401,257.06,78,20,5.14,SJ,1636774883
11,Lebu,-37.6167,-73.65,283.72,86,47,4.04,CL,1636774892
12,Lompoc,34.6391,-120.4579,295.32,82,1,1.54,US,1636774892
13,Saint Anthony,45.0205,-93.218,275.68,83,90,1.79,US,1636774893
14,Hilo,19.7297,-155.09,299.0,75,1,5.14,US,1636774179
15,Saskylakh,71.9167,114.0833,243.25,96,17,2.69,RU,1636774893
16,Tiksi,71.6872,128.8694,249.07,100,78,1.25,RU,1636774894
17,Korla,41.7597,86.1469,274.99,30,0,2.0,CN,1636774894
18,Jódar,37.8406,-3.3526,284.47,74,13,1.06,ES,1636774895
19,Naze,28.3667,129.4833,291.66,51,100,2.29,JP,1636774895
20,Teya,60.3778,92.6267,259.32,83,78,1.27,RU,1636774896
21,Atuona,-9.8,-139.0333,299.23,66,34,5.58,PF,1636774896
22,Kavieng,-2.5744,150.7967,302.37,71,99,1.68,PG,1636774896
23,The Valley,18.217,-63.0578,300.43,72,93,9.2,AI,1636774897
24,Bayanday,53.0661,105.5139,270.83,83,100,1.17,RU,1636774897
25,Phek,25.6667,94.5,290.95,57,84,0.16,IN,1636774897
26,Kidal,18.4411,1.4078,295.17,15,97,4.35,ML,1636774898
27,Punta Arenas,-53.15,-70.9167,280.21,76,0,2.57,CL,1636774898
28,Chokurdakh,70.6333,147.9167,252.95,92,100,3.64,RU,1636774899
29,Lüderitz,-26.6481,15.1594,290.44,68,59,8.15,NA,1636774899
30,São João da Barra,-21.6403,-41.0511,291.24,83,100,4.63,BR,1636774900
31,Port Alfred,-33.5906,26.891,290.37,84,47,2.44,ZA,1636774900
